-1.51218e-05i + 9.94738e-07j + -1.37693e-05k + 1
-7.5493e-06i + -2.2517e-05j + -7.40879e-05k + 1
-7.53907e-06i + -1.16402e-05j + -4.42833e-05k + 1
-5.5507e-06i + -2.40007e-06j + -5.92162e-05k + 1
1.16053e-06i + 1.82369e-06j + -4.21455e-05k + 1
2.01606e-06i + -1.3004e-06j + -1.50462e-05k + 1
2.49732e-05i + -2.32455e-05j + 9.22576e-05k + 1
-9.21626e-06i + -1.8066e-05j + 3.37144e-05k + 1
1.83241e-07i + -3.10725e-05j + -2.44322e-07k + 1
8.43078e-06i + -3.22482e-05j + -4.06004e-05k + 1
-1.15192e-05i + -1.90241e-06j + -1.56469e-05k + 1
1.43801e-05i + -3.49555e-05j + -0.000118862k + 1
4.9808e-05i + -0.000116294j + -0.000134063k + 1
9.27724e-05i + -0.000192639j + -9.62715e-05k + 1
